 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2012,2013,2014,2015
Afghanistan,154.0,150.2,146.4,140.6,134.8,129.0,123.2,117.4,111.1,104.9,98.6,92.4,,86.1,81.8,77.5,73.1
Albania,19.0,18.9,18.8,18.8,18.7,18.6,18.5,18.5,18.9,19.4,19.8,20.3,,20.7,20.7,20.7,20.7
Algeria,11.8,10.7,9.7,9.7,9.7,9.7,9.7,9.7,10.1,10.4,10.8,11.2,,11.6,11.3,11.0,10.7
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Angola,196.7,194.8,192.8,190.5,188.2,185.9,183.5,181.2,178.2,175.1,172.1,169.0,,166.0,163.1,160.2,157.4
Antigua and Barbuda,65.2,64.0,62.8,61.3,59.9,58.4,57.0,55.5,54.2,53.0,51.8,50.5,,49.3,48.1,47.0,45.8
Argentina,66.9,65.9,65.0,64.7,64.5,64.2,64.0,63.7,63.8,63.8,63.9,63.9,,64.0,63.7,63.5,63.3
Armenia,39.4,35.9,32.4,31.5,30.5,29.6,28.7,27.8,27.7,27.6,27.4,27.3,,27.2,26.4,25.6,24.8
Aruba,43.6,42.4,41.1,39.7,38.2,36.8,35.3,33.9,32.8,31.7,30.7,29.6,,28.5,27.1,25.7,24.3
Australia,17.9,17.4,16.9,17.0,17.0,17.0,17.1,17.1,16.6,16.2,15.7,15.3,,14.8,14.4,14.0,13.7
Austria,13.9,13.6,13.3,12.9,12.5,12.0,11.6,11.1,10.6,10.1,9.5,9.0,,8.5,8.2,7.8,7.5
Azerbaijan,36.5,34.6,32.6,33.8,35.0,36.1,37.3,38.5,40.6,42.7,44.8,46.9,,49.0,49.9,50.8,51.7
"Bahamas, The",51.2,47.6,44.0,43.1,42.2,41.2,40.3,39.4,38.1,36.8,35.4,34.1,,32.8,31.6,30.4,29.2
Bahrain,17.6,17.2,16.8,16.4,16.0,15.6,15.2,14.8,14.6,14.5,14.3,14.2,,14.0,13.9,13.7,13.6
Bangladesh,112.5,109.5,106.5,104.0,101.5,99.1,96.6,94.2,92.9,91.7,90.5,89.2,,88.0,87.1,86.2,85.3
Barbados,50.3,49.7,49.1,48.9,48.6,48.4,48.1,47.9,47.7,47.5,47.3,47.1,,46.9,45.0,43.0,41.1
Belarus,27.8,26.0,24.3,23.8,23.4,23.0,22.5,22.1,21.9,21.7,21.6,21.4,,21.3,20.4,19.6,18.8
Belgium,10.6,10.8,11.0,10.8,10.6,10.4,10.2,10.0,9.2,8.4,7.6,6.8,,6.0,5.8,5.6,5.3
Belize,97.2,94.2,91.2,88.2,85.2,82.2,79.2,76.2,74.9,73.6,72.3,71.0,,69.7,68.5,67.2,66.0
Benin,118.5,117.1,115.7,114.3,112.9,111.5,110.1,108.7,106.2,103.8,101.3,98.8,,96.4,94.3,92.3,90.2
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Bhutan,78.9,74.5,70.1,65.9,61.7,57.6,53.4,49.2,45.2,41.1,37.1,33.1,,29.0,27.3,25.6,23.8
Bolivia,90.0,88.9,87.9,86.7,85.5,84.3,83.1,81.9,80.0,78.2,76.3,74.4,,72.6,71.7,70.8,69.9
Bosnia and Herzegovina,21.4,20.1,18.9,18.3,17.8,17.3,16.7,16.2,15.4,14.5,13.7,12.9,,12.1,11.6,11.2,10.8
Botswana,64.6,62.2,59.8,57.7,55.6,53.5,51.4,49.3,47.1,45.0,42.9,40.8,,38.7,36.9,35.2,33.5
Brazil,79.7,78.1,76.6,75.2,73.7,72.3,70.8,69.4,68.9,68.4,68.0,67.5,,67.0,65.9,64.8,63.8
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Brunei Darussalam,25.8,24.8,23.8,22.5,21.2,19.8,18.5,17.2,16.5,15.8,15.1,14.3,,13.6,12.9,12.3,11.6
Bulgaria,43.9,42.4,40.9,41.6,42.2,42.8,43.5,44.1,44.0,43.9,43.7,43.6,,43.5,42.7,41.9,41.1
Burkina Faso,139.3,138.2,137.1,135.6,134.1,132.6,131.1,129.7,126.8,124.0,121.1,118.3,,115.4,113.2,111.0,108.8
Burundi,40.7,38.5,36.3,35.7,35.1,34.6,34.0,33.4,32.7,32.0,31.3,30.6,,29.9,29.3,28.6,28.0
Cabo Verde,101.9,100.6,99.3,98.3,97.3,96.3,95.2,94.2,91.1,88.0,84.9,81.8,,78.7,77.7,76.7,75.7
Cambodia,49.5,48.9,48.2,47.9,47.7,47.5,47.2,47.0,47.3,47.7,48.1,48.4,,48.8,49.1,49.4,49.6
Cameroon,154.8,152.4,150.0,146.3,142.7,139.1,135.4,131.8,129.6,127.4,125.3,123.1,,121.0,117.9,114.9,111.9
Canada,16.7,15.5,14.4,14.3,14.2,14.1,14.0,13.9,13.4,12.9,12.4,11.9,,11.3,10.9,10.6,10.2
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Central African Republic,129.5,127.7,126.0,124.1,122.2,120.4,118.5,116.6,116.0,115.5,114.9,114.3,,113.7,111.7,109.8,107.8
Chad,212.4,211.1,209.7,207.0,204.3,201.5,198.8,196.1,192.5,188.9,185.4,181.8,,178.2,174.8,171.4,167.9
Channel Islands,12.6,12.3,11.9,11.5,11.1,10.7,10.3,9.9,9.5,9.2,8.8,8.4,,8.1,7.8,7.6,7.3
Chile,59.4,58.6,57.7,57.0,56.4,55.8,55.2,54.6,53.7,52.9,52.0,51.2,,50.4,49.4,48.5,47.5
China,9.0,8.7,8.4,8.2,7.9,7.6,7.4,7.1,7.1,7.0,7.0,6.9,,6.9,6.8,6.7,6.6
Colombia,85.1,85.7,86.3,81.8,77.3,72.7,68.2,63.7,62.5,61.3,60.1,58.9,,57.7,55.6,53.6,51.5
Comoros,94.9,93.5,92.2,89.7,87.1,84.6,82.1,79.5,78.5,77.5,76.5,75.5,,74.4,72.6,70.8,69.0
"Congo, Dem. Rep.",125.4,125.9,126.3,127.2,128.1,129.0,129.9,130.8,130.5,130.2,129.9,129.6,,129.3,128.3,127.3,126.3
"Congo, Rep.",135.1,135.7,136.4,134.7,133.0,131.3,129.6,127.9,127.0,126.0,125.1,124.1,,123.2,120.9,118.6,116.4
Costa Rica,75.1,72.5,69.8,68.7,67.7,66.6,65.6,64.5,63.4,62.3,61.2,60.1,,59.1,57.9,56.8,55.7
Cote d'Ivoire,137.8,137.6,137.4,137.6,137.8,138.0,138.3,138.5,138.0,137.5,137.0,136.6,,136.1,135.4,134.7,134.1
Croatia,16.8,16.0,15.2,15.1,15.0,14.8,14.7,14.6,13.9,13.2,12.5,11.9,,11.2,10.7,10.3,9.8
Cuba,57.2,53.1,49.1,48.8,48.5,48.2,47.8,47.5,48.1,48.7,49.3,49.9,,50.6,49.2,47.8,46.4
Curacao,39.4,38.1,36.7,36.1,35.5,34.9,34.3,33.7,33.8,33.9,34.0,34.1,,34.2,33.8,33.3,32.9
Cyprus,9.6,8.4,7.2,7.1,6.9,6.8,6.6,6.4,6.2,5.9,5.7,5.4,,5.2,5.0,4.9,4.8
Czech Republic,13.4,12.4,11.4,11.3,11.3,11.2,11.2,11.1,11.1,11.1,11.1,11.1,,11.0,10.8,10.6,10.4
Denmark,7.2,6.9,6.6,6.5,6.3,6.2,6.0,5.9,5.6,5.3,5.0,4.7,,4.4,4.4,4.3,4.2
Djibouti,33.1,32.0,30.9,29.8,28.7,27.6,26.4,25.3,24.6,23.9,23.2,22.4,,21.7,21.1,20.6,20.0
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Dominican Republic,110.2,109.9,109.6,109.4,109.2,109.1,108.9,108.7,107.1,105.5,103.9,102.2,,100.6,99.5,98.4,97.2
