,lat,lon,text
0,35.888827299999996,-106.3050223,Acid/Pueblo Canyon
1,39.503487299999996,-84.7438586,Alba Craft Shop
2,44.6208218,-123.1209165,"""Albany, Oregon, FUSRAP Site"""
3,40.641371,-80.242936,Aliquippa Forge
4,39.361063,-84.54075,Associated Aircraft Tool and Manufacturing Co.
5,39.9573541,-83.0114552,B & T Metals
6,41.672189,-83.568625,Baker Brothers
7,40.746102,-74.0066415,Baker and Williams Warehouses
8,35.8997249,-106.29012709999999,"""Bayo Canyon, New Mexico, FUSRAP Site"""
9,42.841147,-78.83406,Bliss and Laughlin Steel
10,41.8881016,-84.0164792,Bridgeport Brass Co.
11,40.5376109,-79.7820937,C.H. Schnorr
12,42.1542011,-72.4997776,Chapman Valve
13,34.214928,-105.8793205,"""Chupadera Mesa, New Mexico, FUSRAP Site"""
14,38.6870307,-90.16736159999999,"""Dow Chemical Co., Madison Site"""
15,38.6926197,-90.16229,General Steel Industries
16,37.872571,-122.256179,"""Gilman Hall, University of California at Berkeley"""
17,39.382248499999996,-84.5471105,Hamilton OH Site
18,40.7087363,-74.1012813,Jersey City FUSRAP Site
19,40.577768,-74.49656440000001,Middlesex North Site
20,41.7986843,-87.60693690000001,National Guard Armory
21,40.4702797,-74.47625409999999,"""New Brunswick, NJ, FUSRAP Site"""
22,43.2209056,-78.9737308,Niagara Falls Vicinity Properties
23,36.0427296,-84.2066525,"""Oak Ridge, TN, Warehouse Site"""
24,41.4007898,-73.072232,Seymour Specialty Wire
25,42.9918367,-78.92010079999999,Tonawanda North FUSRAP Site
26,41.7924797,-87.60103609999999,University of Chicago Metallurgical Laboratory
27,42.540470299999996,-70.8888085,Ventron Corporation
28,40.9696277,-74.2707793,Wayne FUSRAP Site
