 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,2014,2015
Afghanistan,..,..,..,..,..,..,..,36.3,..,..,..,35.8,..,..,,..,..
Albania,..,..,25.4,..,..,18.5,..,..,12.4,..,..,..,14.3,..,,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Angola,..,..,..,..,..,..,..,..,36.6,..,..,..,..,..,,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Armenia,..,..,..,..,53.5,40.1,30.2,26.4,27.6,34.1,35.8,35.0,32.4,32.0,,30.0,29.8
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Azerbaijan,..,49.6,..,..,..,..,..,15.8,13.2,10.9,9.1,7.6,6.0,..,,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Bangladesh,48.9,..,..,..,..,40.0,..,..,..,..,31.5,..,..,..,,..,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Belarus,41.9,28.9,30.5,27.1,17.8,12.7,11.1,7.7,6.1,5.4,5.2,7.3,6.3,5.5,,4.8,5.1
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Benin,..,..,..,..,..,..,37.5,33.0,..,..,35.2,36.2,..,..,,..,40.1
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Bhutan,..,..,..,..,..,..,..,23.2,..,..,..,..,12.0,..,,..,..
Bolivia,66.4,63.1,63.3,..,63.1,59.6,59.9,60.1,57.3,51.3,..,45.1,43.3,38.9,,39.1,38.6
Bosnia and Herzegovina,..,..,..,..,..,..,..,18.2,..,..,..,17.9,..,..,,..,16.9
Botswana,..,..,30.6,..,..,..,..,..,..,19.3,..,..,..,..,,..,..
Brazil,..,24.7,23.3,24.9,22.4,21.0,17.3,16.1,14.1,13.3,..,11.1,9.0,8.9,,7.4,8.7
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Bulgaria,14.0,16.0,14.0,..,..,18.4,22.0,21.4,21.8,20.7,22.2,21.2,21.0,21.8,,22.0,22.9
Burkina Faso,..,..,..,51.1,..,..,..,..,..,46.7,..,..,..,..,,40.1,..
Burundi,..,..,..,..,..,..,67.1,..,..,..,..,..,..,..,,64.9,..
Cabo Verde,..,58.0,..,..,..,..,..,46.0,..,..,..,..,..,..,,..,35.0
Cambodia,..,..,..,50.2,..,..,45.0,..,34.0,23.9,22.1,20.5,17.7,..,,..,..
Cameroon,..,40.2,..,..,..,..,..,39.9,..,..,..,..,..,..,,37.5,..
Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Central African Republic,..,..,..,..,..,..,..,..,62.0,..,..,..,..,..,,..,..
Chad,..,..,54.8,..,..,..,..,..,..,..,..,46.7,..,..,,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Chile,20.2,..,..,18.7,..,..,29.1,..,..,25.3,..,22.2,..,14.4,,..,11.7
China,..,..,..,..,..,..,..,..,..,..,17.2,12.7,10.2,8.5,,7.2,5.7
Colombia,..,..,49.7,48.0,47.4,45.0,..,..,42.0,40.3,37.2,34.1,32.7,30.6,,28.5,27.8
Comoros,..,..,..,..,44.8,..,..,..,..,..,..,..,..,..,,42.0,..
"Congo, Dem. Rep.",..,..,..,..,69.3,..,..,..,..,..,..,..,63.9,..,,..,..
"Congo, Rep.",..,..,..,..,50.7,..,..,..,..,..,..,46.5,..,..,,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,21.2,21.7,20.6,20.7,,22.4,21.7
Cote d'Ivoire,..,..,38.4,..,..,..,..,..,48.9,..,..,..,..,..,,..,46.3
Croatia,..,..,..,..,..,..,..,..,..,20.6,20.9,20.4,19.5,19.4,,20.0,19.5
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Czech Republic,..,..,..,..,10.4,9.9,9.6,9.0,8.6,9.0,9.8,9.6,8.6,9.7,,..,..
Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
